"time","name","x","y","direction","nextX","nextY","nextDirection"
"2.22","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4810882","1.1319313","196.79993"
"2.24","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.3717732","1.2694708","282.76797"
"2.24","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4779649","1.1224316","198.19992"
"2.26","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.3620183","1.2716713","282.71198"
"2.26","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4746103","1.113011","199.59991"
"2.28","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.3522646","1.2738765","282.74"
"2.28","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4710267","1.1036752","200.99991"
"2.3","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.342514","1.2760961","282.824"
"2.3","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.467216","1.0944297","202.3999"
"2.32","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.332769","1.2783395","282.96402"
"2.32","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4631805","1.0852802","203.7999"
"2.34","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.3230238","1.2805829","282.96402"
"2.34","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4589229","1.076232","205.19989"
"2.3600001","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.3132942","1.282893","283.35602"
"2.3600001","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4544454","1.0672904","206.59988"
"2.38","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.3035772","1.2852552","283.66403"
"2.38","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4497507","1.058461","207.99988"
"2.4","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.293859","1.2876127","283.63602"
"2.4","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4448416","1.0497488","209.39987"
"2.42","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.2841501","1.2900082","283.86002"
"2.42","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.439721","1.0411592","210.79987"
"2.44","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.27444","1.2923989","283.832"
"2.44","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4343925","1.0326972","212.19986"
"2.46","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.2647312","1.2947944","283.86002"
"2.46","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4288585","1.0243679","213.59985"
"2.48","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.255013","1.2971519","283.63602"
"2.48","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.423123","1.0161763","214.99985"
"2.5","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.245303","1.2995427","283.83203"
"2.5","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4171886","1.0081273","216.39984"
"2.52","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.235594","1.3019382","283.86005"
"2.52","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4110596","1.0002258","217.79984"
"2.54","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.2259102","1.3044332","284.44806"
"2.54","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.4047394","0.99247634","219.19983"
